22-00064498,Traffic Signal - New/Change,Web,Work In Progress,2022-02-22 15:52:00,2022-02-22 15:32:05,2022-02-22 15:59:24,,"ELROY ROAD & CIRCUIT OF THE AMERICAS BLVD & KELLUM ROAD, AUSTIN, TX",,ELROY ROAD & CIRCUIT OF THE AMERICAS BLVD &,AUSTIN,,,0,0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
22-00064458,Traffic Signal - New/Change,Web,Closed,2022-02-22 15:35:15,2022-02-22 15:09:08,2022-02-22 15:35:15,2022-02-22 15:35:15,"FM 812 TO S SH 130 NB RAMP, AUSTIN, TX 78617",,FM 812 TO S SH 130 NB RAMP,AUSTIN,,,0,0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
22-00064449,Traffic Signal - New/Change,Web,Closed,2022-02-22 15:26:09,2022-02-22 15:06:05,2022-02-22 15:26:09,2022-02-22 15:26:09,"FM 812 TO S SH 130 SB RAMP, AUSTIN, TX 78617",,FM 812 TO S SH 130 SB RAMP,AUSTIN,,,0,0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
22-00064164,Traffic Signal - New/Change,Web,Closed,2022-02-22 13:25:13,2022-02-22 12:59:32,2022-02-22 13:25:13,2022-02-22 13:25:13,"WILLIAM CANNON @S. CONGRESS, AUSTIN, TX",,WILLIAM CANNON @S. CONGRESS,AUSTIN,,,0,0,3.44238668,-105.9831947,"(3.442386682, -105.9831947)",,,
22-00063585,Found Animal - Pick Up,Phone,Closed,2022-02-23 16:58:50,2022-02-22 08:20:19,2022-02-23 16:58:50,2022-02-23 16:58:50,"6901 WOLF LN, AUSTIN, TX 78612",6901,WOLF,AUSTIN,78612,TRAVIS,3175012.84602953,10032258.4024812,30.15822335,-97.5536366,"(30.15822335, -97.5536366)",,679Y,MT13
22-00062774,Street Light Issue- Address,Mobile Device,Closed,2022-02-22 09:25:04,2022-02-21 13:31:14,2022-02-22 09:25:04,2022-02-22 09:25:04,"2127 BRUSHY CREEK RD, CEDAR PARK, TX 78613",2127,BRUSHY CREEK,CEDAR PARK,78613,WILLIAMSON,3095735.65837427,10157208.6225317,30.50689766,-97.79539055,"(30.50689766, -97.79539055)",,403D,MF42
22-00063711,Traffic Signal - Maintenance,Phone,Duplicate (closed),2022-02-22 09:53:35,2022-02-22 09:24:14,2022-02-22 09:53:35,2022-02-22 09:53:35,"TWIN CREEKS CLUB DR & ANDERSON MILL RD, CEDAR PARK, TX",,TWIN CREEKS CLUB DR & ANDERSON MILL RD,CEDAR PARK,78613,TRAVIS,3080369.55491892,10143169.4913977,30.46925976,-97.84517076,"(30.46925976, -97.84517076)",,432C,MD39
22-00065713,Loose Dog,Phone,Open,2022-02-23 14:28:07,2022-02-23 14:28:07,2022-02-23 14:28:07,,"2002 MAN O WAR DR, WEBBERVILLE, TX 78617",2002,MAN O WAR,WEBBERVILLE,78617,TRAVIS,3183885.33715766,10054350.3616546,30.21833483,-97.52380719,"(30.21833483, -97.52380719)",,650F,MU18
22-00064154,Injured / Sick Animal,Phone,Closed,2022-02-23 08:03:46,2022-02-22 12:55:36,2022-02-23 08:03:46,2022-02-23 08:03:46,"2740 CITATION DR, AUSTIN, TX 78617",2740,CITATION,AUSTIN,78617,TRAVIS,3183946.92866672,10052055.5095011,30.21202269,-97.52379574,"(30.21202269, -97.52379574)",,650K,MU17
22-00064493,Traffic Signal - New/Change,Web,Work In Progress,2022-02-22 15:52:00,2022-02-22 15:29:02,2022-02-22 15:59:26,,"FM 812 RD & CIRCUIT OF THE AMERICAS BLVD, AUSTIN, TX",,FM 812 RD & CIRCUIT OF THE AMERICAS BLVD,AUSTIN,78617,TRAVIS,3145717.1834753,10022000.0555256,30.13200467,-97.64708665,"(30.13200467, -97.64708665)",,707T,MN10
22-00063285,Loose Dog,Phone,Open,2022-02-21 19:46:21,2022-02-21 19:46:21,2022-02-21 19:46:21,,"8028 ELROY RD, AUSTIN, TX 78617",8028,ELROY,AUSTIN,78617,TRAVIS,3154569.03753434,10025353.1603937,30.14063075,-97.61883595,"(30.14063075, -97.61883595)",,708J,MQ11
22-00065251,Found Animal - Pick Up,Phone,Closed,2022-02-23 10:22:54,2022-02-23 10:04:52,2022-02-23 10:22:54,2022-02-23 10:22:54,"23300 INGRAM DR, AUSTIN, TX 78621",23300,INGRAM,AUSTIN,78621,TRAVIS,3206712.49968265,10080919.0022172,30.28975769,-97.44937942,"(30.28975769, -97.44937942)",,592E,
22-00065246,Injured / Sick Animal,Phone,Closed,2022-02-23 12:11:42,2022-02-23 10:01:45,2022-02-23 12:11:42,2022-02-23 12:11:42,"23300 INGRAM DR, AUSTIN, TX 78621",23300,INGRAM,AUSTIN,78621,TRAVIS,3206712.49968265,10080919.0022172,30.28975769,-97.44937942,"(30.28975769, -97.44937942)",,592E,
22-00064781,Injured / Sick Animal,Phone,Closed,2022-02-23 07:24:29,2022-02-22 18:22:06,2022-02-23 07:24:29,2022-02-23 07:24:29,"14112 JOYCE DR, AUSTIN, TX 78641",14112,JOYCE,AUSTIN,78641,TRAVIS,3036426.57231274,10185040.9787057,30.58699097,-97.98181745,"(30.58699097, -97.98181745)",,309T,WW49
